841,   7,  27,  16,  12,  11,  14,   7,  41,  24;
  36, 764,   4,   6,   1,   7,  18,   2,  45, 117;
  83,   2, 566,  41,  56,  86,  92,  55,  13,   6;
  32,   5,  54, 481,  43, 211,  93,  50,  17,  14;
  37,   1,  69,  64, 562,  84,  77,  88,  11,   7;
  15,   0,  26, 117,  20, 707,  44,  53,   7,  11;
  12,   3,  37,  41,  14,  26, 850,   9,   4,   4;
  20,   3,  20,  30,  28,  95,  12, 773,   3,  16;
  88,  21,  10,  16,   2,   6,  13,   3, 814,  27;
  43,  41,   7,   9,   5,   7,  13,  14,  27, 834;
