824,  18,  31,   4,  10,   3,   5,   8,  59,  38;
  10, 901,   2,   1,   0,   1,   4,   0,  16,  65;
  61,   4, 673,  23,  73,  46,  77,  24,  11,   8;
  18,   6,  41, 567,  61, 129,  97,  35,  23,  23;
   5,   3,  38,  28, 805,  11,  50,  52,   6,   2;
   5,   5,  35, 123,  48, 682,  34,  54,   9,   5;
   3,   3,  24,  19,  20,   9, 911,   5,   6,   0;
  12,   2,  19,  14,  32,  19,   8, 886,   1,   7;
  33,  17,   3,   3,   3,   2,   6,   4, 913,  16;
  19,  47,   2,   4,   1,   0,   3,   2,  15, 907;
