800,  14,  32,  29,  11,   3,  13,   9,  62,  27;
   8, 918,   1,   9,   2,   1,  10,   0,  15,  36;
  53,   1, 639,  62,  88,  54,  85,   9,   8,   1;
   7,   3,  28, 669,  55, 156,  59,  12,   9,   2;
   9,   0,  25,  49, 834,  15,  47,  16,   5,   0;
   5,   1,  17, 147,  33, 757,  21,  16,   2,   1;
   3,   0,  11,  46,  21,  12, 902,   3,   2,   0;
  12,   2,  24,  47,  59,  51,   6, 793,   1,   5;
  31,  12,   5,  19,   0,   0,   6,   2, 912,  13;
  14,  54,   2,  17,   3,   4,   5,   3,  23, 875;
