805,  14,  49,  22,  13,   4,  10,   9,  51,  23;
   8, 900,   7,   2,   2,   2,  10,   1,  18,  50;
  38,   0, 760,  34,  51,  39,  54,  13,   8,   3;
  11,   3,  48, 608,  58, 159,  83,  16,   6,   8;
  12,   1,  48,  26, 813,  23,  46,  26,   4,   1;
   5,   0,  31, 122,  38, 753,  26,  21,   3,   1;
   1,   0,  26,  26,  13,  11, 919,   2,   2,   0;
   8,   0,  19,  34,  44,  38,   6, 844,   0,   7;
  26,  12,  11,   5,   7,   3,   9,   2, 910,  15;
  12,  50,   4,  10,   1,   1,   8,   7,  15, 892;
