838,  16,  17,   7,  11,   0,   2,   7,  84,  18;
  10, 923,   0,   0,   1,   1,   3,   0,  16,  46;
  62,   3, 722,  20,  61,  31,  48,  20,  28,   5;
  26,   4,  61, 539,  75, 107,  68,  23,  64,  33;
  20,   4,  41,  13, 829,   8,  39,  33,  11,   2;
  15,   2,  37,  91,  57, 686,  38,  41,  20,  13;
   7,   2,  30,  18,  23,   7, 881,   5,  25,   2;
  12,   3,  19,  16,  36,  18,   8, 861,  10,  17;
  24,  12,   2,   1,   0,   2,   1,   0, 951,   7;
  23,  46,   2,   0,   2,   1,   1,   3,  28, 894;
