783,  19,  49,  28,  17,   6,  10,   8,  48,  32;
  14, 848,   2,   9,   4,   7,  14,   3,  25,  74;
  58,   8, 651,  60,  73,  48,  53,  30,  13,   6;
  16,  11,  62, 576,  49, 159,  63,  37,   8,  19;
  20,   3,  76,  62, 702,  27,  34,  66,   6,   4;
  14,   3,  45, 172,  42, 638,  27,  46,   5,   8;
   4,   2,  47,  61,  34,  25, 815,   4,   4,   4;
  14,   4,  26,  37,  58,  51,   8, 786,   5,  11;
  51,  35,  14,  17,   9,   5,   7,   3, 839,  20;
  34,  68,   8,  14,   7,   9,   9,  15,  24, 812;
