833,  11,  55,  19,  10,   3,  20,  10,  29,  10;
   6, 946,   3,   4,   3,   1,   7,   2,   8,  20;
  25,   1, 818,  28,  37,  36,  43,  10,   2,   0;
   9,   3,  51, 716,  27, 115,  66,  11,   0,   2;
   4,   2,  83,  41, 780,  22,  53,  12,   3,   0;
   2,   0,  29, 103,  32, 793,  26,  15,   0,   0;
   1,   2,  28,  19,   4,   6, 936,   2,   2,   0;
   5,   1,  23,  27,  45,  39,  11, 847,   1,   1;
  37,  15,  14,  19,   6,   2,   6,   0, 896,   5;
  24,  79,  10,  11,   2,   3,  16,   5,  13, 837;
