774,   4,  32,  12,  51,   2,  21,   9,  66,  29;
   7, 862,   1,   4,   4,   2,  15,   1,  25,  79;
  27,   0, 682,  29, 113,  36,  97,   6,   5,   5;
   7,   2,  29, 626,  98,  91, 128,   8,   7,   4;
   1,   0,  16,  12, 915,   4,  41,   6,   5,   0;
   2,   0,  18, 124,  58, 743,  37,  13,   3,   2;
   1,   0,   9,   7,  21,   6, 953,   1,   2,   0;
   4,   0,  15,  27, 116,  36,  18, 781,   1,   2;
  13,   4,   1,   6,  12,   0,  12,   2, 935,  15;
  10,  17,   3,   9,   4,   1,   8,   3,  23, 922;
