863,  15,  29,  12,   9,   2,  10,   7,  26,  27;
   8, 922,   2,   1,   1,   2,   4,   1,   8,  51;
  46,   5, 698,  41,  57,  51,  66,  26,   4,   6;
  20,   8,  38, 633,  37, 126,  82,  34,   4,  18;
  19,   2,  40,  43, 774,  19,  58,  39,   5,   1;
   7,   3,  30, 135,  31, 724,  22,  39,   3,   6;
   6,   3,  20,  31,  10,   7, 916,   3,   2,   2;
   8,   0,  10,  25,  35,  35,   5, 874,   1,   7;
  38,  20,   9,   8,   2,   0,   4,   3, 892,  24;
  18,  50,   3,   9,   1,   2,   4,   6,  11, 896;
