815,   9,  31,  20,  18,   5,   9,   7,  54,  32;
  11, 870,   4,   8,   2,   4,   7,   5,  27,  62;
  55,   8, 639,  63,  83,  54,  47,  31,  13,   7;
  26,  11,  64, 561,  60, 157,  51,  42,  12,  16;
  15,   2,  56,  58, 751,  34,  35,  39,   6,   4;
  13,   6,  38, 160,  47, 661,  27,  41,   3,   4;
   6,   4,  45,  55,  28,  21, 826,   3,   7,   5;
   8,   4,  27,  44,  49,  53,   5, 799,   3,   8;
  51,  25,   8,  13,   8,   5,   5,   4, 862,  19;
  34,  60,   3,  11,   3,   4,   7,  12,  20, 846;
