811,  19,  34,  19,  15,   6,   8,   5,  55,  28;
  17, 851,   3,   4,   5,   6,  11,   2,  29,  72;
  52,   6, 647,  63,  69,  63,  45,  28,  17,  10;
  30,   6,  55, 568,  67, 160,  54,  27,  10,  23;
  20,   4,  64,  61, 693,  33,  46,  67,   9,   3;
  14,   4,  48, 163,  53, 633,  16,  51,   6,  12;
   7,   5,  37,  60,  26,  27, 824,   3,   4,   7;
  17,   4,  26,  39,  52,  52,   7, 787,   5,  11;
  53,  25,  13,  16,   8,   9,   7,   1, 847,  21;
  32,  75,   8,  17,   1,   6,   5,   9,  27, 820;
